order_id,customer_id,product_name,category,quantity,price
1,170,Laptop,Electronics,5,827.79
2,811,Phone,Electronics,2,1482.17
3,777,Tablet,Electronics,3,935.41
4,907,Tablet,Electronics,3,309.19
5,74,Keyboard,Accessories,5,1311.66
6,880,Tablet,Electronics,5,432.13
7,787,Laptop,Electronics,4,1811.07
8,799,Phone,Electronics,2,1344.44
9,417,Laptop,Electronics,1,1579.56
10,79,Laptop,Electronics,4,432.7
11,80,Headphones,Accessories,1,1931.82
12,71,Tablet,Electronics,1,557.24
13,121,Monitor,Electronics,1,1656.47
14,897,Keyboard,Accessories,1,1291.27
15,476,Headphones,Accessories,2,837.89
16,309,Phone,Electronics,3,1102.07
17,237,Headphones,Accessories,1,275.64
18,611,Keyboard,Accessories,1,596.25
19,710,Keyboard,Accessories,3,848.84
20,703,Laptop,Electronics,1,892.28
21,558,Keyboard,Accessories,5,691.27
22,784,Phone,Electronics,1,1874.1
23,696,Monitor,Electronics,2,1592.11
24,538,Headphones,Accessories,3,1943.47
25,97,Keyboard,Accessories,3,1455.86
26,439,Keyboard,Accessories,2,347.09
27,969,Headphones,Accessories,5,992.01
28,936,Tablet,Electronics,2,1614.9
29,884,Laptop,Electronics,3,1316.84
30,632,Headphones,Accessories,3,1701.03
31,999,Monitor,Electronics,4,189.47
32,563,Monitor,Electronics,4,1398.62
33,766,Monitor,Electronics,3,1363.0
34,306,Tablet,Electronics,3,1914.1
35,36,Headphones,Accessories,5,389.95
36,558,Phone,Electronics,3,1436.32
37,306,Headphones,Accessories,4,1726.61
38,369,Monitor,Electronics,1,212.72
39,799,Phone,Electronics,4,1308.61
40,628,Laptop,Electronics,5,1247.73
41,314,Laptop,Electronics,1,1019.33
42,979,Phone,Electronics,1,213.12
43,96,Tablet,Electronics,4,1045.39
44,203,Headphones,Accessories,1,144.56
45,230,Monitor,Electronics,2,1395.33
46,806,Laptop,Electronics,4,388.11
47,956,Headphones,Accessories,5,697.95
48,249,Tablet,Electronics,1,792.0
49,836,Headphones,Accessories,5,1181.97
50,465,Tablet,Electronics,3,251.68
51,275,Headphones,Accessories,3,1424.03
52,748,Monitor,Electronics,5,716.91
53,930,Laptop,Electronics,4,747.61
54,302,Keyboard,Accessories,2,1919.96
55,895,Laptop,Electronics,3,1698.74
56,968,Laptop,Electronics,1,1668.99
57,730,Phone,Electronics,3,1886.55
58,832,Tablet,Electronics,2,1489.2
59,189,Laptop,Electronics,4,1844.12
60,815,Phone,Electronics,4,1311.36
61,959,Tablet,Electronics,1,1316.42
62,211,Tablet,Electronics,1,150.14
63,535,Tablet,Electronics,4,636.57
64,944,Tablet,Electronics,4,1510.39
65,282,Laptop,Electronics,4,927.23
66,295,Monitor,Electronics,4,590.35
67,612,Tablet,Electronics,3,235.54
68,702,Tablet,Electronics,2,1753.29
69,355,Tablet,Electronics,2,1460.57
70,206,Laptop,Electronics,3,1525.51
71,478,Phone,Electronics,1,1765.82
72,780,Headphones,Accessories,2,938.7
73,650,Tablet,Electronics,2,400.22
74,683,Tablet,Electronics,2,679.79
75,399,Headphones,Accessories,3,1731.59
76,768,Phone,Electronics,3,835.37
77,456,Keyboard,Accessories,1,1698.04
78,682,Headphones,Accessories,3,841.13
79,78,Tablet,Electronics,1,855.82
80,323,Headphones,Accessories,5,1804.08
81,877,Headphones,Accessories,3,1325.69
82,798,Laptop,Electronics,3,491.02
83,750,Phone,Electronics,5,1186.56
84,678,Keyboard,Accessories,4,127.58
85,784,Keyboard,Accessories,2,979.77
86,588,Laptop,Electronics,2,1420.85
87,700,Monitor,Electronics,5,377.47
88,501,Tablet,Electronics,5,1771.06
89,180,Headphones,Accessories,4,330.87
90,356,Tablet,Electronics,2,1956.48
91,745,Phone,Electronics,4,1931.38
92,446,Headphones,Accessories,2,1456.22
93,541,Headphones,Accessories,4,175.59
94,375,Laptop,Electronics,3,1887.86
95,291,Phone,Electronics,2,1136.67
96,277,Phone,Electronics,5,876.44
97,709,Headphones,Accessories,2,446.98
98,537,Keyboard,Accessories,1,548.9
99,868,Phone,Electronics,2,603.49
100,390,Phone,Electronics,3,1497.89
101,494,Tablet,Electronics,5,798.0
102,636,Keyboard,Accessories,4,1984.19
103,413,Phone,Electronics,3,871.14
104,400,Tablet,Electronics,5,1545.69
105,885,Tablet,Electronics,3,701.71
106,564,Phone,Electronics,2,1351.28
107,594,Laptop,Electronics,2,602.83
108,237,Tablet,Electronics,1,1496.7
109,857,Keyboard,Accessories,3,821.33
110,297,Headphones,Accessories,3,700.14
111,528,Tablet,Electronics,5,234.77
112,840,Laptop,Electronics,5,268.43
113,356,Keyboard,Accessories,1,502.49
114,443,Headphones,Accessories,1,526.64
115,591,Laptop,Electronics,1,824.82
116,581,Headphones,Accessories,2,978.41
117,911,Laptop,Electronics,5,186.39
118,514,Monitor,Electronics,5,626.24
119,613,Phone,Electronics,2,1624.71
120,857,Keyboard,Accessories,1,677.74
121,378,Keyboard,Accessories,1,974.35
122,692,Headphones,Accessories,3,1256.42
123,7,Laptop,Electronics,5,1388.06
124,748,Phone,Electronics,2,1882.36
125,561,Laptop,Electronics,4,504.08
126,504,Keyboard,Accessories,4,574.81
127,970,Monitor,Electronics,2,1778.91
128,306,Laptop,Electronics,4,479.15
129,900,Monitor,Electronics,1,269.94
130,949,Headphones,Accessories,3,137.01
131,397,Monitor,Electronics,1,850.76
132,394,Monitor,Electronics,2,875.58
133,317,Laptop,Electronics,2,1420.24
134,658,Headphones,Accessories,4,284.9
135,554,Keyboard,Accessories,2,210.65
136,302,Laptop,Electronics,3,906.22
137,852,Tablet,Electronics,4,1027.08
138,287,Phone,Electronics,2,1981.84
