customer_id,customer_name,country
1,Customer_1,Germany
2,Customer_2,Germany
3,Customer_3,USA
4,Customer_4,Canada
5,Customer_5,USA
6,Customer_6,UK
7,Customer_7,USA
8,Customer_8,India
9,Customer_9,India
10,Customer_10,Germany
11,Customer_11,Canada
12,Customer_12,USA
13,Customer_13,USA
14,Customer_14,Australia
15,Customer_15,UK
16,Customer_16,Australia
17,Customer_17,USA
18,Customer_18,UK
19,Customer_19,USA
20,Customer_20,Australia
21,Customer_21,India
22,Customer_22,UK
23,Customer_23,India
24,Customer_24,Australia
25,Customer_25,Germany
26,Customer_26,India
27,Customer_27,Canada
28,Customer_28,USA
29,Customer_29,Canada
30,Customer_30,India
31,Customer_31,Germany
32,Customer_32,USA
33,Customer_33,Canada
34,Customer_34,India
35,Customer_35,Germany
36,Customer_36,UK
37,Customer_37,USA
38,Customer_38,Germany
39,Customer_39,Australia
40,Customer_40,UK
41,Customer_41,India
42,Customer_42,UK
43,Customer_43,USA
44,Customer_44,UK
45,Customer_45,Germany
46,Customer_46,USA
47,Customer_47,India
48,Customer_48,UK
49,Customer_49,Germany
50,Customer_50,USA
51,Customer_51,Germany
52,Customer_52,Canada
53,Customer_53,Canada
54,Customer_54,Australia
55,Customer_55,Canada
56,Customer_56,India
57,Customer_57,USA
58,Customer_58,UK
59,Customer_59,Canada
60,Customer_60,USA
61,Customer_61,India
62,Customer_62,Canada
63,Customer_63,Germany
64,Customer_64,India
65,Customer_65,Australia
66,Customer_66,India
67,Customer_67,India
68,Customer_68,Australia
69,Customer_69,Canada
70,Customer_70,UK
71,Customer_71,India
72,Customer_72,Australia
73,Customer_73,USA
74,Customer_74,Canada
75,Customer_75,Canada
76,Customer_76,India
77,Customer_77,UK
78,Customer_78,USA
79,Customer_79,India
80,Customer_80,Canada
81,Customer_81,India
82,Customer_82,Canada
83,Customer_83,India
84,Customer_84,Canada
85,Customer_85,India
86,Customer_86,USA
87,Customer_87,Australia
88,Customer_88,Canada
89,Customer_89,Canada
90,Customer_90,USA
91,Customer_91,Canada
92,Customer_92,Germany
93,Customer_93,Canada
94,Customer_94,Germany
95,Customer_95,India
96,Customer_96,Germany
97,Customer_97,UK
98,Customer_98,Germany
99,Customer_99,Canada
100,Customer_100,USA
101,Customer_101,Germany
102,Customer_102,India
